id,book_url,name,author,author_url,score,isbn,rating,rating_count,review_count,page_count,year,genres
24213,/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,https://www.goodreads.com/author/show/8164.Lewis_Carroll,825361,9780451527745,4.06,446210,10329,239,2000,Classics
10210,/book/show/10210.Jane_Eyre,Jane Eyre,Charlotte Brontë,https://www.goodreads.com/author/show/1036615.Charlotte_Bront_,813139,9780142437209,4.12,1586497,40921,532,2003,Classics
24280,/book/show/24280.Les_Mis_rables,Les Misérables,Victor Hugo,https://www.goodreads.com/author/show/13661.Victor_Hugo,804544,null,4.17,670765,17104,1463,1987,Classics
13335037,/book/show/13335037-divergent,"Divergent (Divergent, #1)",Veronica Roth,https://www.goodreads.com/author/show/4039811.Veronica_Roth,783556,9780062024039,4.20,2829132,107502,487,2012,Young Adult
13079982,/book/show/13079982-fahrenheit-451,Fahrenheit 451,Ray Bradbury,https://www.goodreads.com/author/show/1630.Ray_Bradbury,776441,null,3.99,1626094,46138,194,2011,Classics
18135,/book/show/18135.Romeo_and_Juliet,Romeo and Juliet,William Shakespeare,https://www.goodreads.com/author/show/947.William_Shakespeare,764093,9780743477116,3.75,2016094,18923,368,2004,Classics
7624,/book/show/7624.Lord_of_the_Flies,Lord of the Flies,William Golding,https://www.goodreads.com/author/show/306.William_Golding,763871,9780140283334,3.68,2213727,36308,182,1999,Classics
18144590,/book/show/18144590-the-alchemist,The Alchemist,Paulo Coelho,https://www.goodreads.com/author/show/566.Paulo_Coelho,756045,9780062315007,3.87,2028312,77833,182,2014,Fiction
7144,/book/show/7144.Crime_and_Punishment,Crime and Punishment,Fyodor Dostoyevsky,https://www.goodreads.com/author/show/3137322.Fyodor_Dostoyevsky,748863,9780143058144,4.22,605518,18325,671,2002,Cultural
22628,/book/show/22628.The_Perks_of_Being_a_Wallflower,The Perks of Being a Wallflower,Stephen Chbosky,https://www.goodreads.com/author/show/12898.Stephen_Chbosky,745849,null,4.20,1220320,56444,213,1999,Young Adult
4671,/book/show/4671.The_Great_Gatsby,The Great Gatsby,F. Scott Fitzgerald,https://www.goodreads.com/author/show/3190.F_Scott_Fitzgerald,735974,null,3.92,3679998,65562,200,2004,Classics
375802,/book/show/375802.Ender_s_Game,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,https://www.goodreads.com/author/show/589.Orson_Scott_Card,716242,9780812550702,4.30,1103599,42842,324,2004,Science Fiction
256683,/book/show/256683.City_of_Bones,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,https://www.goodreads.com/author/show/150038.Cassandra_Clare,712966,9781416914280,4.10,1578190,60683,485,2007,Fantasy
4667024,/book/show/4667024-the-help,The Help,Kathryn Stockett,https://www.goodreads.com/author/show/1943477.Kathryn_Stockett,710452,null,4.47,2108929,84130,451,2009,Fiction
8127,/book/show/8127.Anne_of_Green_Gables,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,https://www.goodreads.com/author/show/5350.L_M_Montgomery,685180,9780451528827,4.26,703541,21749,320,2003,Classics
24178,/book/show/24178.Charlotte_s_Web,Charlotte's Web,E.B. White,https://www.goodreads.com/author/show/988142.E_B_White,674122,9780064410939,4.17,1376825,17582,184,2001,Classics
157993,/book/show/157993.The_Little_Prince,The Little Prince,Antoine de Saint-Exupéry,https://www.goodreads.com/author/show/1020792.Antoine_de_Saint_Exup_ry,667801,null,4.31,1301280,37961,93,2000,Classics
18619684,/book/show/18619684-the-time-traveler-s-wife,The Time Traveler's Wife,Audrey Niffenegger,https://www.goodreads.com/author/show/498072.Audrey_Niffenegger,663179,9781939126016,3.97,1547251,46900,500,2013,Fiction
890,/book/show/890.Of_Mice_and_Men,Of Mice and Men,John Steinbeck,https://www.goodreads.com/author/show/585.John_Steinbeck,661644,9780142000670,3.87,1901282,33216,103,2002,Classics
3,/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,https://www.goodreads.com/author/show/1077326.J_K_Rowling,656658,null,4.47,6816505,108719,309,2003,Fantasy
17245,/book/show/17245.Dracula,Dracula,Bram Stoker,https://www.goodreads.com/author/show/6988.Bram_Stoker,636882,9780393970128,4.00,907583,24661,488,1986,Classics
5129,/book/show/5129.Brave_New_World,Brave New World,Aldous Huxley,https://www.goodreads.com/author/show/3487.Aldous_Huxley,628124,9780060929879,3.99,1403280,29098,288,1998,Classics
320,/book/show/320.One_Hundred_Years_of_Solitude,One Hundred Years of Solitude,Gabriel García Márquez,https://www.goodreads.com/author/show/13450.Gabriel_Garc_a_M_rquez,613149,null,4.08,732202,29606,417,2003,Fiction
21787,/book/show/21787.The_Princess_Bride,The Princess Bride,William Goldman,https://www.goodreads.com/author/show/12521.William_Goldman,595711,9780345418265,4.26,762834,19780,456,2003,Fantasy
5107,/book/show/5107.The_Catcher_in_the_Rye,The Catcher in the Rye,J.D. Salinger,https://www.goodreads.com/author/show/819789.J_D_Salinger,592792,9780316769174,3.81,2674826,56039,277,2001,Classics
2998,/book/show/2998.The_Secret_Garden,The Secret Garden,Frances Hodgson Burnett,https://www.goodreads.com/author/show/2041.Frances_Hodgson_Burnett,578618,9780517189603,4.14,865711,18086,331,1998,Classics
128029,/book/show/128029.A_Thousand_Splendid_Suns,A Thousand Splendid Suns,Khaled Hosseini,https://www.goodreads.com/author/show/569.Khaled_Hosseini,574655,9781594489501,4.37,1119695,52897,372,2007,Fiction
28187,/book/show/28187.The_Lightning_Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,https://www.goodreads.com/author/show/15872.Rick_Riordan,573704,9780786838653,4.25,1924238,58892,375,2006,Fantasy
33574273,/book/show/33574273-a-wrinkle-in-time,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,https://www.goodreads.com/author/show/106.Madeleine_L_Engle,557851,9781250153272,4.00,1032058,33462,218,2017,Fantasy
13496,/book/show/13496.A_Game_of_Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,https://www.goodreads.com/author/show/346732.George_R_R_Martin,555269,9780553588484,4.45,1955323,53906,835,2005,Fantasy
2956,/book/show/2956.The_Adventures_of_Huckleberry_Finn,The Adventures of Huckleberry Finn,Mark Twain,https://www.goodreads.com/author/show/1244.Mark_Twain,513916,9780142437179,3.82,1136571,15210,327,2002,Classics
12232938,/book/show/12232938-the-lovely-bones,The Lovely Bones,Alice Sebold,https://www.goodreads.com/author/show/316.Alice_Sebold,508584,9780316166683,3.81,1978789,40122,372,2006,Fiction
231804,/book/show/231804.The_Outsiders,The Outsiders,S.E. Hinton,https://www.goodreads.com/author/show/762707.S_E_Hinton,500896,null,4.10,909522,32371,192,1997,Classics
19543,/book/show/19543.Where_the_Wild_Things_Are,Where the Wild Things Are,Maurice Sendak,https://www.goodreads.com/author/show/4489.Maurice_Sendak,500084,9780099408390,4.22,795292,11582,37,2000,Childrens
23772,/book/show/23772.Green_Eggs_and_Ham,Green Eggs and Ham,Dr. Seuss,https://www.goodreads.com/author/show/61105.Dr_Seuss,494454,9780394800165,4.30,596229,9213,62,1988,Childrens
1381,/book/show/1381.The_Odyssey,The Odyssey,Homer,https://www.goodreads.com/author/show/903.Homer,489144,9780143039952,3.77,845479,11881,541,2006,Classics
4214,/book/show/4214.Life_of_Pi,Life of Pi,Yann Martel,https://www.goodreads.com/author/show/811.Yann_Martel,486037,9780770430078,3.91,1310141,46826,460,2006,Fiction
1953,/book/show/1953.A_Tale_of_Two_Cities,A Tale of Two Cities,Charles Dickens,https://www.goodreads.com/author/show/239579.Charles_Dickens,483867,9780141439600,3.84,795790,17044,489,2003,Classics
43641,/book/show/43641.Water_for_Elephants,Water for Elephants,Sara Gruen,https://www.goodreads.com/author/show/24556.Sara_Gruen,472229,9781565125605,4.09,1353987,58529,335,2007,Fiction
7604,/book/show/7604.Lolita,Lolita,Vladimir Nabokov,https://www.goodreads.com/author/show/5152.Vladimir_Nabokov,458778,null,3.89,648420,23929,331,1995,Classics
4981,/book/show/4981.Slaughterhouse_Five,Slaughterhouse-Five,Kurt Vonnegut Jr.,https://www.goodreads.com/author/show/2778055.Kurt_Vonnegut_Jr_,443537,9780385333849,4.07,1106498,26286,275,1999,Classics
35031085,/book/show/35031085-frankenstein,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,https://www.goodreads.com/author/show/11139.Mary_Wollstonecraft_Shelley,431431,9780143131847,3.80,1133264,31839,288,2018,Classics
77203,/book/show/77203.The_Kite_Runner,The Kite Runner,Khaled Hosseini,https://www.goodreads.com/author/show/569.Khaled_Hosseini,427893,null,4.30,2367149,72086,371,2004,Fiction
38447,/book/show/38447.The_Handmaid_s_Tale,"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,https://www.goodreads.com/author/show/3472.Margaret_Atwood,410255,null,4.11,1405109,68523,314,1998,Fiction
